url	Title	Price	City	State
https://northmiss.craigslist.org/ctd/d/2015-chevy-chevrolet-tahoe-lt/6483251370.html	2015 Chevy Chevrolet Tahoe LT V8 5 3L CARFAX Leather Seats SUV	$38500	 Call 662 200-5006	
https://northmiss.craigslist.org/ctd/d/2014-toyota-tundra-sr5-v8-4/6483238772.html	2014 Toyota Tundra SR5 V8 4 6L CARFAX Crew Cab Truck Backup Camera	$24500	 Call 662 200-5006	
https://northmiss.craigslist.org/ctd/d/2015-jeep-cherokee-limited-2/6483226351.html	2015 Jeep Cherokee Limited 2 4L 4WD CARFAX Leather Seats Fuel	$19750	 Call 662 200-5006	
https://northmiss.craigslist.org/ctd/d/2017-nissan-murano-sv-v6/6483212094.html	2017 Nissan Murano SV V6 CARFAX One Owner SUV Navigation Bluetooth	$21500	 Call 662 200-5006	
https://northmiss.craigslist.org/cto/d/2013-nissan-altima/6466640994.html	2013 NISSAN ALTIMA	$8500	 Greenwood Ms	
https://northmiss.craigslist.org/cto/d/discount12-jeep-cherokee/6459727235.html	DISCOUNT12 Jeep Cherokee LIGHTS & Tupelo 4-Wheels - $3100	$40	 Tupelo	
https://northmiss.craigslist.org/cto/d/calculate12-jeep-cherokee/6458180360.html	CALCULATE12 Jeep Cherokee LIGHTS & Starkville 4-Wheels - $3000	$40	 Starkville	
https://northmiss.craigslist.org/cto/d/2003-toyota-camry-le/6454279312.html	2003 Toyota camry le	$3600	 fulton	ms.
https://northmiss.craigslist.org/cto/d/2007-jeep-compass-2-wheel/6483196355.html	2007 Jeep compass 2 wheel drive	$3800	 Hamilton	
https://northmiss.craigslist.org/cto/d/like-new-2004-four-door/6483099916.html	Like New 2004 Four-door Toyota 4runnr sport utility vehicle with V8 Mo	$1022		
https://northmiss.craigslist.org/cto/d/1985-chevy-c10/6483182510.html	1985 chevy c10	$7000	 Decaturville	
https://northmiss.craigslist.org/cto/d/1997-mustang-gt-convertible-5/6483180750.html	1997 Mustang GT Convertible 5 Speed Excellent Cond. With Mods	$5000	 Memphis	TN
https://northmiss.craigslist.org/ctd/d/2015-chevrolet-1500-crew-cab/6483176032.html	2015 CHEVROLET 1500 CREW CAB 4WD	$34500		
https://northmiss.craigslist.org/cto/d/2010-malibu/6480540140.html	2010 malibu	$5	 Myrtle	
https://northmiss.craigslist.org/cto/d/2008-chevy-silveradomiles/6461510017.html	2008 Chevy Silverado 131.000 miles	$8000	 Myrtle	
https://northmiss.craigslist.org/cto/d/2012-gmc-sierra-4x4/6480553038.html	2012 gmc Sierra 4x4	$18	 Myrtle	
https://northmiss.craigslist.org/ctd/d/2015-chevrolet-suburban-ltz/6483162773.html	2015 CHEVROLET SUBURBAN LTZ	$35900		
https://northmiss.craigslist.org/ctd/d/2017-ram-2500-crew-cab/6483144951.html	2017 RAM 2500 CREW CAB CUMMINGS 4WD	$39900		
https://northmiss.craigslist.org/cto/d/2000-chevrolet-silverado-4wd/6483136074.html	2000 chevrolet silverado 4wd	$3800	 Ackerman	
https://northmiss.craigslist.org/cto/d/06-honda-odyssey/6459751506.html	06 Honda Odyssey	$3800	 Etta	 Ms
https://northmiss.craigslist.org/cto/d/2004-bmw-325i/6476172065.html	2004 BMW 325i	$3500	 titusville	
https://northmiss.craigslist.org/cto/d/1999-chevy-silverado-ext-cab/6470732008.html	1999 Chevy Silverado Ext. Cab 5.3 Vortec-Low Miles!	$7150		
https://northmiss.craigslist.org/cto/d/2009-chevrolet-suburban-lt/6483114645.html	2009 Chevrolet Suburban LT	$10900	 Independence	
https://northmiss.craigslist.org/ctd/d/1999-chevrolet-silverado-ext/6483126756.html	1999 CHEVROLET SILVERADO EXT CAB Z71	$6500		
https://northmiss.craigslist.org/cto/d/2008-nissan-maxima-se-with-75k/6483106192.html	#2008 nissan MAXIMA SE/with 75k	$6200	 memphis	
https://northmiss.craigslist.org/cto/d/2014-chevy-cruze-lt-35k/6483114076.html	**2014 CHEVY CRUZE  LT /35K	$7999	 memphis	
https://northmiss.craigslist.org/cto/d/2006-nissan-altima-se-4-door/6459520252.html	2006 Nissan Altima SE - 4 Door; Fully Loaded; Extra Clean!	$5650	 Tupelo	
https://northmiss.craigslist.org/cto/d/2008-bmw-335i-convertible/6463011794.html	2008 BMW 335i Convertible	$16500		
